5200050;Abadia de GoiAs;GO
3100104;Abadia dos Dourados;MG
5200100;Abadiania;GO
3100203;Abaete;MG
1500107;Abaetetuba;PA
2300101;Abaiara;CE
2900108;Abaira;BA
2900207;Abare;BA
4100103;AbatiA;PR
4200051;Abdon Batista;SC
1500131;Abel Figueiredo;PA
4200101;Abelardo Luz;SC
3100302;Abre Campo;MG
2600054;Abreu e Lima;PE
1700251;Abreulandia;TO
3100401;Acaiaca;MG
2100055;Acailandia;MA
2900306;Acajutiba;BA
1500206;AcarA;PA
2300150;Acarape;CE
2300200;Acarau;CE
2400109;Acari;RN
2200053;Acaua;PI
4300034;AceguA;RS
2300309;Acopiara;CE
5100102;Acorizal;MT
1200013;Acrelandia;AC
5200134;Acreuna;GO
2400208;Acu;RN
3100500;Acucena;MG
3500105;Adamantina;SP
5200159;Adelandia;GO
3500204;Adolfo;SP
4100202;Adrianopolis;PR
2900355;Adustina;BA
2600104;Afogados da Ingazeira;PE
2400307;Afonso Bezerra;RN
3200102;Afonso ClAudio;ES
2100105;Afonso Cunha;MA
2600203;Afranio;PE
1500305;AfuA;PA
2600302;Agrestina;PE
2200103;Agricolandia;PI
4200200;Agrolandia;SC
4200309;Agronomica;SC
1500347;Agua Azul do Norte;PA
3100609;Agua Boa;MG
5100201;Agua Boa;MT
2700102;Agua Branca;AL
2500106;Agua Branca;PB
2200202;Agua Branca;PI
5000203;Agua Clara;MS
3100708;Agua Comprida;MG
4200408;Agua Doce;SC
2100154;Agua Doce do Maranhao;MA
3200169;Agua Doce do Norte;ES
2900405;Agua Fria;BA
5200175;Agua Fria de GoiAs;GO
5200209;Agua Limpa;GO
2400406;Agua Nova;RN
2600401;Agua Preta;PE
4300059;Agua Santa;RS
3500303;Aguai;SP
3100807;Aguanil;MG
2600500;Aguas Belas;PE
3500402;Aguas da Prata;SP
4200507;Aguas de Chapeco;SC
3500501;Aguas de Lindoia;SP
3500550;Aguas de Santa BArbara;SP
3500600;Aguas de Sao Pedro;SP
3100906;Aguas Formosas;MG
4200556;Aguas Frias;SC
5200258;Aguas Lindas de GoiAs;GO
4200606;Aguas Mornas;SC
3101003;Aguas Vermelhas;MG
4300109;Agudo;RS
3500709;Agudos;SP
4100301;Agudos do Sul;PR
3200136;Aguia Branca;ES
2500205;Aguiar;PB
1700301;Aguiarnopolis;TO
3101102;Aimores;MG
2900603;Aiquara;BA
2300408;Aiuaba;CE
3101201;Aiuruoca;MG
4300208;Ajuricaba;RS
3101300;Alagoa;MG
2500304;Alagoa Grande;PB
2500403;Alagoa Nova;PB
2500502;Alagoinha;PB
2600609;Alagoinha;PE
2200251;Alagoinha do Piaui;PI
2900702;Alagoinhas;BA
3500758;Alambari;SP
3101409;Albertina;MG
2100204;Alcantara;MA
2300507;Alcantaras;CE
2500536;Alcantil;PB
5000252;Alcinopolis;MS
2900801;Alcobaca;BA
2100303;Aldeias Altas;MA
4300307;Alecrim;RS
3200201;Alegre;ES
4300406;Alegrete;RS
2200277;Alegrete do Piaui;PI
4300455;Alegria;RS
3101508;Alem Paraiba;MG
1500404;Alenquer;PA
2400505;Alexandria;RN
5200308;Alexania;GO
3101607;Alfenas;MG
3200300;Alfredo Chaves;ES
3500808;Alfredo Marcondes;SP
3101631;Alfredo Vasconcelos;MG
4200705;Alfredo Wagner;SC
2500577;Algodao de Jandaira;PB
2500601;Alhandra;PB
2600708;Alianca;PE
1700350;Alianca do Tocantins;TO
2900900;Almadina;BA
1700400;Almas;TO
1500503;Almeirim;PA
3101706;Almenara;MG
2400604;Almino Afonso;RN
4100400;Almirante Tamandare;PR
4300471;Almirante Tamandare do Sul;RS
5200506;Aloandia;GO
3101805;Alpercata;MG
4300505;Alpestre;RS
3101904;Alpinopolis;MG
5100250;Alta Floresta;MT
1100015;Alta Floresta D''Oeste;RO
3500907;Altair;SP
1500602;Altamira;PA
2100402;Altamira do Maranhao;MA
4100459;Altamira do ParanA;PR
2300606;Altaneira;CE
3102001;Alterosa;MG
2600807;Altinho;PE
3501004;Altinopolis;SP
1400050;Alto Alegre;RR
4300554;Alto Alegre;RS
3501103;Alto Alegre;SP
2100436;Alto Alegre do Maranhao;MA
2100477;Alto Alegre do Pindare;MA
1100379;Alto Alegre dos Parecis;RO
5100300;Alto Araguaia;MT
4200754;Alto Bela Vista;SC
5100359;Alto Boa Vista;MT
3102050;Alto Caparao;MG
2400703;Alto do Rodrigues;RN
4300570;Alto Feliz;RS
5100409;Alto Garcas;MT
5200555;Alto Horizonte;GO
3153509;Alto JequitibA;MG
2200301;Alto LongA;PI
5100508;Alto Paraguai;MT
4128625;Alto Paraiso;PR
1100403;Alto Paraiso;RO
5200605;Alto Paraiso de GoiAs;GO
4100608;Alto ParanA;PR
2100501;Alto Parnaiba;MA
4100707;Alto Piquiri;PR
3102100;Alto Rio Doce;MG
3200359;Alto Rio Novo;ES
2300705;Alto Santo;CE
5100607;Alto Taquari;MT
4100509;Altonia;PR
2200400;Altos;PI
3501152;Aluminio;SP
1300029;Alvaraes;AM
3102209;Alvarenga;MG
3501202;Alvares Florence;SP
3501301;Alvares Machado;SP
3501400;Alvaro de Carvalho;SP
3501509;Alvinlandia;SP
3102308;Alvinopolis;MG
4300604;Alvorada;RS
1700707;Alvorada;TO
3102407;Alvorada de Minas;MG
2200459;Alvorada do Gurgueia;PI
5200803;Alvorada do Norte;GO
4100806;Alvorada do Sul;PR
1100346;Alvorada D''Oeste;RO
1400027;Amajari;RR
5000609;Amambai;MS
1600105;AmapA;AP
2100550;AmapA do Maranhao;MA
4100905;Amapora;PR
2600906;Amaraji;PE
4300638;Amaral Ferrador;RS
5200829;Amaralina;GO
2200509;Amarante;PI
2100600;Amarante do Maranhao;MA
2901007;Amargosa;BA
1300060;AmaturA;AM
2901106;Amelia Rodrigues;BA
2901155;America Dourada;BA
3501608;Americana;SP
5200852;Americano do Brasil;GO
3501707;Americo Brasiliense;SP
3501806;Americo de Campos;SP
4300646;Ametista do Sul;RS
2300754;Amontada;CE
5200902;Amorinopolis;GO
2500734;Amparo;PB
3501905;Amparo;SP
2800100;Amparo de Sao Francisco;SE
3102506;Amparo do Serra;MG
4101002;Ampere;PR
2700201;Anadia;AL
2901205;Anage;BA
4101051;Anahy;PR
1500701;AnajAs;PA
2100709;Anajatuba;MA
3502002;Analandia;SP
1300086;Anama;AM
1701002;AnanAs;TO
1500800;Ananindeua;PA
5201108;AnApolis;GO
1500859;Anapu;PA
2100808;Anapurus;MA
5000708;AnastAcio;MS
5000807;Anaurilandia;MS
3200409;Anchieta;ES
4200804;Anchieta;SC
2901304;Andarai;BA
4101101;AndirA;PR
2901353;Andorinha;BA
3102605;Andradas;MG
3502101;Andradina;SP
4300661;Andre da Rocha;RS
3102803;Andrelandia;MG
3502200;Angatuba;SP
3102852;Angelandia;MG
5000856;Angelica;MS
2601003;Angelim;PE
4200903;Angelina;SC
2901403;Angical;BA
2200608;Angical do Piaui;PI
1701051;Angico;TO
2400802;Angicos;RN
3300100;Angra dos Reis;RJ
2901502;Anguera;BA
4101150;angulo;PR
5201207;Anhanguera;GO
3502309;Anhembi;SP
3502408;Anhumas;SP
5201306;Anicuns;GO
2200707;Anisio de Abreu;PI
4201000;Anita Garibaldi;SC
4201109;AnitApolis;SC
1300102;Anori;AM
4300703;Anta Gorda;RS
2901601;Antas;BA
4101200;Antonina;PR
2300804;Antonina do Norte;CE
2200806;Antonio Almeida;PI
2901700;Antonio Cardoso;BA
3102902;Antonio Carlos;MG
4201208;Antonio Carlos;SC
3103009;Antonio Dias;MG
2901809;Antonio Goncalves;BA
5000906;Antonio Joao;MS
2400901;Antonio Martins;RN
4101309;Antonio Olinto;PR
4300802;Antonio Prado;RS
3103108;Antonio Prado de Minas;MG
2500775;Aparecida;PB
3502507;Aparecida;SP
5201405;Aparecida de Goiania;GO
5201454;Aparecida do Rio Doce;GO
1701101;Aparecida do Rio Negro;TO
5001003;Aparecida do Taboado;MS
3502606;Aparecida d''Oeste;SP
3300159;Aperibe;RJ
3200508;ApiacA;ES
5100805;ApiacAs;MT
3502705;Apiai;SP
2100832;Apicum-Acu;MA
4201257;Apiuna;SC
2401008;Apodi;RN
2901908;AporA;BA
5201504;Apore;GO
2901957;Apuarema;BA
4101408;Apucarana;PR
1300144;Apui;AM
2300903;Apuiares;CE
2800209;Aquidaba;SE
5001102;Aquidauana;MS
2301000;Aquiraz;CE
4201273;Arabuta;SC
2500809;Aracagi;PB
3103207;Aracai;MG
2800308;Aracaju;SE
3502754;Aracariguama;SP
2902054;Aracas;BA
2301109;Aracati;CE
2902005;Aracatu;BA
3502804;Aracatuba;SP
2902104;Araci;BA
3103306;Aracitaba;MG
2301208;Aracoiaba;CE
2601052;Aracoiaba;PE
3502903;Aracoiaba da Serra;SP
3200607;Aracruz;ES
5201603;Aracu;GO
3103405;Aracuai;MG
5201702;Aragarcas;GO
5201801;Aragoiania;GO
1701309;Aragominas;TO
1701903;Araguacema;TO
1702000;Araguacu;TO
5101001;Araguaiana;MT
1702109;Araguaina;TO
5101209;Araguainha;MT
2100873;Araguana;MA
1702158;Araguana;TO
5202155;Araguapaz;GO
3103504;Araguari;MG
1702208;Araguatins;TO
2100907;Araioses;MA
5001243;Aral Moreira;MS
2902203;Aramari;BA
4300851;Arambare;RS
2100956;Arame;MA
3503000;Aramina;SP
3503109;Arandu;SP
3103603;Arantina;MG
3503158;Arapei;SP
2700300;Arapiraca;AL
1702307;Arapoema;TO
3103702;Araponga;MG
4101507;Arapongas;PR
3103751;Arapora;MG
4101606;Arapoti;PR
3103801;ArapuA;MG
4101655;Arapua;PR
5101258;Araputanga;MT
4201307;Araquari;SC
2500908;Arara;PB
4201406;AraranguA;SC
3503208;Araraquara;SP
3503307;Araras;SP
2301257;ArarendA;CE
2101004;Arari;MA
4300877;AraricA;RS
2301307;Araripe;CE
2601102;Araripina;PE
3300209;Araruama;RJ
2501005;Araruna;PB
4101705;Araruna;PR
2902252;Arataca;BA
4300901;Aratiba;RS
2301406;Aratuba;CE
2902302;Aratuipe;BA
2800407;ArauA;SE
4101804;AraucAria;PR
3103900;Araujos;MG
3104007;AraxA;MG
